,text,noun,Nletters,frequency,synsets,labels
4246,chanciness,1,10,1,1,13.09
4247,chancre,1,7,10,1,12.54
4248,chancy,0,6,79,2,11.77
4249,chandelier,1,10,1018,1,8.63
4250,chandelle,1,9,14,2,10
4251,chandlery,1,9,20,2,16.2
4252,change,0,6,186962,20,4.26
4253,changeable,0,10,211,4,10.37
4254,changefulness,1,13,3,1,12.41
4255,changeless,0,10,23,3,11.58
4256,changelessness,1,14,4,2,12.19
4257,changeling,1,10,365,2,12.29
4258,changeover,1,10,135,1,10.26
4259,changer,1,7,571,2,11.2
4260,channel,1,7,14688,11,5.79
4261,chanson,1,7,64,1,15.5
4262,chant,1,5,2031,3,6.88
4263,chanter,1,7,26,1,12.36
4264,chanterelle,1,11,64,1,16.33
4265,chanteuse,1,9,58,1,15.43
4266,chantey,1,7,15,1,11.5
4267,chanticleer,1,11,34,1,13
4268,chaos,1,5,10764,4,10.05
4269,chaotic,0,7,1743,3,8.5
4270,chap,1,4,7480,5,10
4271,chaparral,0,9,38,1,16
4272,chapbook,1,8,4,1,11.38
4273,chapeau,1,7,146,1,14.92
4274,chapel,1,6,4973,2,6.95
4275,chaperon,1,8,168,2,9.16
4276,chaplain,1,8,1603,1,12.19
4277,chaplet,1,7,37,1,15.09
4278,chapter,1,7,9056,5,6.42
4279,char,0,4,930,5,9.344218
4280,character,1,9,31657,10,6.47
4281,characteristic,1,14,1150,5,10.47
4282,characteristics,1,15,1766,4,9.932601
4283,characterization,1,16,138,3,11.16
4284,characterize,0,12,362,2,10.61
4285,charade,1,7,1695,2,9.56
4286,charbroil,0,9,7,1,12.16
4287,charcoal,1,8,1520,6,8
4288,chard,1,5,266,2,14
4289,chardonnay,1,10,805,2,16.25
4290,charge,1,6,62746,40,7.5
4291,charger,1,7,1303,2,10.63
4292,chariot,1,7,1944,4,9.11
4293,charioteer,1,10,76,2,12.57
4294,charisma,1,8,1116,1,11.82
4295,charismatic,0,11,1044,1,12.47
4296,charitable,0,10,1628,3,10.5
4297,charity,1,9,13935,5,7.63
4298,charlady,1,8,21,1,13
4299,charlatan,1,9,661,1,12.36
4300,charlatanism,1,12,17,1,14.88
4301,charm,1,5,10980,8,8.09
4302,charmer,1,7,1007,2,10.79
4303,charming,0,8,17277,6,6.26
4304,charmless,0,9,57,1,10.89
4305,charnel,0,7,54,2,13.33
4306,charred,0,7,814,2,10.2
4307,chart,1,5,4806,5,7.59
4308,charter,1,7,2373,5,10.33
4309,chartreuse,1,10,176,3,14
4310,charwoman,1,9,57,1,11.45
4311,chase,1,5,21830,7,5.53
4312,chaser,1,6,834,2,11.22
4313,chasm,1,5,462,1,14.33
4314,chasse,1,6,89,2,12
4315,chassis,1,7,578,3,12.2
4316,chaste,0,6,799,3,13.11
4317,chasten,0,7,19,3,14.62
4318,chastened,0,9,42,3,12.28
4319,chastise,0,8,191,1,12.5
4320,chastisement,1,12,53,2,11.64
4321,chastity,1,8,1381,2,11.78
4322,chat,1,4,15812,4,7.33
4323,chateau,1,7,1768,1,13.22
4324,chateaubriand,1,13,140,2,16
4325,chattel,1,7,124,1,14.64
4326,chatter,1,7,19834,8,7.56
4327,chatterbox,1,10,372,2,9.33
4328,chatty,0,6,834,2,8.22
4329,chauffer,0,8,114,1,10.24
4330,chauffeur,1,9,2783,2,9.84
4331,chauvinism,1,10,106,2,13.35
4332,chauvinist,1,10,290,2,12.71
4333,chauvinistic,0,12,119,2,13.28
4334,chaw,1,4,89,2,12.11
4335,cheap,0,5,23430,4,7.11
4336,cheapen,0,7,116,1,9.35
4337,cheapie,1,7,26,1,9.71
4338,cheapish,0,8,7,1,10.82
4339,cheapjack,1,9,4,2,10.6
4340,cheapness,1,9,68,2,9.84
4341,cheapo,1,6,98,1,9.67
4342,cheapskate,1,10,530,1,8.79
4343,cheat,0,5,13204,9,5.11
4344,cheater,1,7,1849,1,6.06
4345,check,0,5,176507,38,5.53
4346,checkbook,1,9,985,1,8.67
4347,checker,1,7,341,5,6.89
4348,checkerboard,1,12,85,1,6.74
4349,checkered,0,9,427,4,9.28
4350,checkers,1,8,1092,6,6.11
4351,checklist,1,9,671,1,7.78
4352,checkmark,1,9,16,1,9.28
4353,checkmate,0,9,1447,3,9
4354,checkout,1,8,708,3,6.44
4355,checkpoint,1,10,1397,1,13
4356,checkroom,1,9,43,1,12.36
4357,checksum,1,8,1,1,14.17
4358,checkup,1,7,1062,1,6.06
4359,cheddar,0,7,873,2,7.138219
4360,cheek,1,5,6152,5,5.06
4361,cheekbone,1,9,200,1,7.17
4362,cheekiness,1,10,15,1,11.24
4363,cheeky,0,6,2535,1,10.63
4364,cheep,0,5,335,2,6.64
4365,cheer,0,5,14507,7,5
4366,cheerful,0,8,3980,2,7.68
4367,cheerfulness,1,12,98,2,8.15
4368,cheery,0,8,724,1,7.19
4369,cheerleader,1,11,2466,2,6
4370,cheerless,0,9,43,1,9.22
4371,cheers,0,6,47819,7,8.587917
4372,cheese,1,6,25222,4,4.33
4373,cheeseboard,1,11,7,1,9.75
4374,cheeseburger,1,12,1434,1,4.78
4375,cheesecake,1,10,1228,2,8.11
4376,cheesecloth,1,11,49,1,13.2
4377,cheesy,0,8,1937,1,6.21
4378,cheetah,1,7,1509,1,8.16
4379,chef,1,4,25754,1,8.3
4380,chela,0,5,124,2,15
4381,chemical,0,8,8730,3,9.5
4382,chemicals,1,9,4371,1,9.6983
4383,chemise,1,7,56,2,12.91
4384,chemist,1,7,1985,2,8.94
4385,chemistry,1,11,5989,3,9.94
4386,chemo,1,5,2275,1,14.24
4387,chemosynthesis,1,14,10,1,15.78
4388,chemotherapeutic,0,16,10,1,16.07
4389,chemotherapy,1,12,1028,1,12.53
4390,chenille,1,8,63,2,14.67
4391,cheongsam,1,9,19,1,17.5
4392,cherish,0,7,2971,1,8.9
4393,cheroot,1,7,29,1,14.5
4394,cherry,1,8,8118,5,5.58
4395,cherub,1,6,301,2,12.18
4396,cherubic,0,8,20,1,11.93
4397,chervil,0,7,38,2,14.57
4398,chess,1,5,7234,2,5.37
4399,chessboard,1,10,295,1,8.37
4400,chessman,1,8,38,1,10.79
4401,chest,1,5,25688,4,5.05
4402,chestnut,1,8,1293,7,6.55
4403,chesty,0,6,119,2,12.32
4404,chevalier,1,9,576,2,14.33
4405,chevron,1,7,411,2,10.79
4406,chew,0,4,5565,3,4.05
4407,chewable,0,8,79,1,6.39
4408,chewer,1,6,33,1,7
4409,chewy,0,5,552,2,6.74
4410,chiaroscuro,1,11,37,1,14.67
4411,chiasm,1,6,28,1,14.45
4412,chic,0,4,1919,2,9.53
4413,chicane,1,7,80,5,13.57
4414,chicanery,1,9,105,1,12.75
4415,chichi,1,6,182,3,12.9
4416,chick,1,5,15412,2,5.53
4417,chickadee,1,9,141,1,9.79
4418,chicken,1,7,41996,5,3.26
4419,chickenpox,1,10,262,1,5.95
4420,chickweed,1,9,13,2,13.43
4421,chicory,1,7,225,4,12.5
4422,chid,0,4,46,1,10.22
4423,chide,0,5,199,1,12.33
4424,chief,1,5,76951,4,7.53
4425,chieftain,1,9,453,2,10.75
4426,chiffon,1,7,340,1,13.78
4427,chigger,0,7,36,2,10.78
4428,child,1,5,151864,4,5.14536
4429,childbearing,1,12,99,2,10.37
4430,childbed,1,8,20,1,8
4431,childbirth,1,10,1307,1,9.25
4432,childhood,1,9,15445,2,7.94
4433,childish,0,8,4397,1,6.33
4434,childishness,1,12,203,1,8.78
4435,childless,0,9,465,1,9.38
4436,childlike,0,9,439,2,8.11
4437,childproof,0,10,81,1,7.95
4438,children,1,8,156181,4,4.09545
4439,chili,1,5,4316,2,6.61
4440,chiliastic,0,10,2,1,13.33
4441,chilidog,1,8,22,1,7.58
4442,chill,1,5,12405,7,6.4
4443,chiller,0,7,81,1,9.94
4444,chilliness,1,10,10,2,6.5
4445,chilling,0,8,1482,5,8.65
4446,chilly,0,6,3051,4,6.39
4447,chime,0,5,1434,2,7.83
4448,chimney,1,7,2872,2,6.58
4449,chimp,1,5,1418,1,7.17
4450,chimpanzee,1,10,787,1,7.26
4451,chin,1,4,9359,3,4.22
4452,chinaware,1,9,27,1,10.05
4453,chinchilla,1,10,227,3,12.67
4454,chine,1,5,79,3,10.33
4455,chink,1,5,689,6,10.47
4456,chinless,0,8,39,1,8.17
4457,chintz,1,6,90,1,12.54
4458,chintzy,0,7,100,2,13.07
4459,chinwag,1,7,48,1,12.2
4460,chip,1,4,12537,14,5.89
4461,chipmunk,1,8,571,1,4.7
4462,chipper,0,7,742,1,8.2
4463,chippie,1,7,105,1,14.31
4464,chiropodist,1,11,90,1,17.57
4465,chiropody,1,9,3,1,14.86
4466,chiropractic,0,12,84,1,14.05
4467,chiropractor,1,12,507,1,12.67
4468,chirp,0,5,878,3,4.63
4469,chirpy,0,8,161,2,9.12
4470,chirrup,0,7,48,2,14.08
4471,chisel,0,6,772,4,10.53
4472,chiseler,1,8,120,1,9.22
4473,chit,1,4,649,2,11.45
4474,chitchat,1,8,787,2,9.59
4475,chitin,1,6,21,1,11.71
4476,chitlins,1,8,122,1,12.21
4477,chivalric,0,9,40,1,15.33
4478,chivalrous,0,10,441,1,11.95
4479,chivalry,1,8,929,2,13.89
4480,chive,1,6,70,1,11.070652
4481,chloral,0,7,93,1,14.67
4482,chlorate,1,8,67,1,13.21
4483,chlordane,1,9,9,1,18.71
4484,chloride,1,8,586,2,12.22
4485,chlorinate,0,10,5,2,11.71
4486,chlorine,1,8,827,1,8.57
4487,chloroform,1,10,798,2,14
4488,chloromethane,1,13,3,1,17
4489,chlorophyll,1,11,181,1,11.75
4490,chlorpromazine,1,14,47,1,16.5
4491,chocolate,1,4,21440,3,3.33
4492,chock,0,5,234,4,10.69
4493,chockablock,1,11,15,1,13.14
4494,chocoholic,0,10,30,1,13.47
4495,chocolaty,0,9,91,1,7.05
4496,choice,1,6,77197,5,5.17
4497,choir,1,5,5413,4,6.53
4498,choirboy,1,8,191,1,7.83
4499,choke,0,5,4594,16,6.11
4500,chokecherry,1,13,5,2,13.5
4501,choker,1,6,215,4,11
4502,choky,0,5,32,2,8.6
4503,choler,1,6,48,3,17.25
4504,cholera,1,7,1201,1,12.69
4505,choleric,0,8,40,3,13.88
4506,cholesterol,1,11,1466,1,13.15
4507,cholinesterase,1,14,20,1,16.43
4508,chomp,0,5,321,2,6.11
4509,chon,1,4,232,2,17.6
4510,choose,0,6,44853,3,4.74
4511,chooser,1,7,22,1,6.56
4512,choosy,1,7,500,1,8.37
4513,chop,1,4,10564,11,6.74
4514,chophouse,1,9,24,1,11.47
4515,chopper,1,7,5284,4,8.21
4516,choppers,1,8,913,4,10.6
4517,choppy,0,6,281,2,9.16
4518,chopstick,1,9,164,1,8.5
4519,chopsticks,1,10,1071,1,7.854453
4520,choral,0,6,374,2,8.07
4521,chorale,1,7,54,1,11.5
4522,chord,1,5,1528,4,9.71
4523,chore,1,5,806,1,5.79
4524,choreograph,0,11,153,2,13.16
4525,choreographer,1,13,629,1,12.25
4526,choreography,1,12,1073,3,12.14
4527,chorister,1,9,63,1,12.86
4528,chorizo,1,7,261,1,13.46
4529,chorography,1,11,3,1,11.73
4530,chorology,1,9,2,1,14.75
4531,chortle,0,7,44,2,13.83
4532,chorus,1,6,4540,7,7.5
4533,chow,1,4,4112,3,7.89
4534,chowder,1,7,623,1,8
4535,chowhound,1,9,19,1,11.08
4536,chowtime,1,8,15,1,7.95
4537,chrestomathy,1,12,3,1,18
4538,chrism,1,6,9,1,13.67
4539,christen,0,8,450,1,8.43
4540,christening,1,11,941,2,10.56
4541,christmas,0,9,70624,2,4.346085
4542,chromatic,0,9,50,3,12.56
4543,chromatograph,1,13,61,1,15.22
4544,chromatography,1,14,55,1,16.92
4545,chrome,1,6,791,3,8.32
4546,chromic,0,7,40,1,13.8
4547,chromium,1,8,176,1,12.89
4548,chromo,1,7,17,1,11
4549,chromosomal,0,11,90,1,13.35
4550,chromosome,1,10,480,1,11.78
4551,chronic,0,7,2290,3,11.25
4552,chronicle,1,9,1157,2,9.45
4553,chronicler,1,10,182,1,13.4
4554,chronograph,1,11,78,1,13.4
4555,chronological,0,13,200,1,11.74
4556,chronology,1,12,141,3,12.83
4557,chronometer,1,11,119,1,14.23
4558,chronometric,0,12,14,1,16
4559,chrysalis,1,9,268,1,11.69
4560,chrysanthemum,1,13,289,2,8.47
4561,chub,1,4,230,1,10.6
4562,chubby,0,6,2255,1,7.78
4563,chuck,0,5,19107,7,6.72
4564,chucker,1,7,41,1,10.92
4565,chuckle,1,7,6141,2,6.3
4566,chucklehead,1,11,47,1,12
4567,chuff,0,5,152,1,12.57
4568,chug,0,4,2164,2,9.37
4569,chugalug,0,8,21,1,9.33
4570,chukka,1,6,27,2,13.67
4571,chum,1,4,1864,3,9.24
4572,chummy,0,6,646,2,9.78
4573,chump,1,5,1875,1,10.95
4574,chunk,1,5,2175,4,8.53
4575,chunky,0,8,989,2,7.42
4576,church,1,6,57254,5,5.15
4577,churchgoer,1,10,71,1,6.94
4578,churchgoing,0,11,70,1,9.3
4579,churchman,1,9,49,1,8.84
4580,churchy,0,7,85,1,9.47
4581,churchyard,1,10,322,1,6.42
4582,churl,0,5,50,3,14.07
4583,churlish,0,8,91,2,13.14
4584,churn,0,5,456,3,9
4585,chute,1,5,1663,3,7.68
4586,chutney,1,7,529,1,14.75
4587,chutzpah,1,8,216,1,13.5
4588,cicada,1,6,208,1,11.54
4589,cicerone,1,8,19,1,16.17
4590,cider,1,5,1295,1,5.83
4591,cig,1,3,348,1,11.62
4592,cigar,1,5,5060,1,7.67
4593,cigarette,1,9,17794,1,6.39
4594,cigarillo,1,9,31,1,15.17
4595,cilantro,1,8,319,2,12.27
4596,cilia,1,5,69,2,14.79
4597,ciliate,1,7,3,4,13.75
4598,cinch,1,5,1147,6,10.72
4599,cinder,1,6,407,1,7.57
4600,cine,1,4,145,1,14.44
4601,cinema,1,6,9230,2,8.85
4602,cinematic,0,9,501,1,11.26
4603,cinematograph,1,13,49,1,13.75
4604,cinematographer,1,15,434,1,13.53
4605,cinematography,1,14,1026,1,13.78
4606,cinnamon,1,8,2302,3,5.37
4607,cipher,1,6,974,7,13.82
4608,circ,1,4,36,1,12.5
4609,circa,0,5,406,1,13.116796
4610,circadian,0,9,86,1,14.25
4611,circle,1,6,16410,11,3.67
4612,circuit,1,7,5416,8,11.78
4613,circuitous,0,10,63,2,14.56
4614,circuitry,1,9,512,1,12.62
4615,circular,0,8,1554,3,7.68
4616,circulate,0,9,739,8,9.79
4617,circulation,1,11,2430,6,10.05
4618,circulatory,0,11,223,2,13.17
4619,circum,1,6,32,1,13.47
4620,circumcise,0,10,99,2,12.24
4621,circumcision,1,12,468,3,12.11
4622,circumference,1,13,419,3,11.84
4623,circumferential,0,15,26,1,12.5
4624,circumnavigate,0,14,68,1,11.28
4625,circumspect,0,11,137,1,14.15
4626,circumspection,1,14,14,2,16.67
4627,circumstance,1,12,1957,4,9.84
4628,circumstantial,0,14,1576,1,13.75
4629,circumvent,0,10,239,3,13.53
4630,circus,1,6,11167,6,4.53
4631,cirque,1,6,461,1,14.36
4632,cirrhosis,1,9,354,1,13.07
4633,cirrhotic,0,9,19,1,18.67
4634,cirrus,1,6,87,3,11.08
4635,cisalpine,0,9,6,1,15
4636,cistern,1,7,274,3,12
4637,citadel,1,7,897,1,13.13
4638,citation,1,8,620,6,12.95
4639,cite,0,4,555,8,13.29
4640,cithara,1,7,5,1,15.5
4641,city,1,6,142573,3,6.56
4642,citizen,1,7,10905,1,7.74
4643,citizenry,1,11,157,1,12.9
4644,citizenship,1,11,1209,2,9.95
4645,citrate,1,7,59,2,15.8
4646,citric,0,6,61,1,12.11
4647,citrus,1,6,544,2,6.63
4648,cityscape,1,9,33,2,13.42
4649,citywide,0,8,319,1,10.32
4650,civet,1,5,97,1,11.33
4651,civic,0,5,1504,2,11.8
4652,civics,1,6,196,1,11.35
4653,civil,0,5,14131,6,10.89
4654,civilian,0,8,5833,2,9.76
4655,civilization,1,12,6201,4,10
4656,civility,1,10,337,2,13.38
4657,civilize,0,8,102,2,10.06
4658,civilized,0,9,3275,4,9.89
4659,civilizing,0,10,57,2,11.05
4660,clabber,1,7,4,2,10.9
4661,clack,0,5,554,5,9.38
4662,clacker,1,7,24,1,9.33
4663,clad,0,4,556,5,10.17
4664,claim,0,5,19233,11,9.05
4665,claimer,1,7,12,1,13.05
4666,clairaudient,1,12,5,1,16.12
4667,clairsentience,1,14,1,1,15
4668,clairvoyance,1,12,147,1,13.06
4669,clairvoyant,1,11,607,3,12.33
4670,clam,1,4,1997,4,7.37
4671,clambake,1,8,155,1,12.38
4672,clamber,0,7,85,2,11.4
4673,clammy,0,9,413,1,10.58
4674,clamor,1,6,239,5,11.63
4675,clamp,0,5,1985,3,10.89
4676,clampdown,1,9,46,1,13
4677,clamshell,0,9,52,2,8.11
4678,clan,1,4,9045,1,11.05
4679,clandestine,0,11,786,1,13.28
4680,clang,1,5,1218,2,9.53
4681,clank,1,5,969,2,6.95
4682,clannish,0,8,18,2,13.29
4683,clansman,1,8,139,1,12.19
4684,clap,0,4,4105,10,3.4
4685,clapboard,1,9,21,2,11.39
4686,clapper,1,7,192,3,9.25
4687,clapperboard,1,12,34,1,12.33
4688,claptrap,1,8,171,1,12.4
4689,claque,1,6,18,1,15.78
4690,claret,1,6,352,3,15.67
4691,clarification,1,13,420,2,12.06
4692,clarify,0,9,2277,2,11.24
4693,clarifier,1,9,12,1,13.57
4694,clarinet,1,8,831,1,9.22
4695,clarion,1,7,215,4,15.5
4696,clarity,1,7,2318,2,10.55
4697,clash,1,5,1885,7,8.95
4698,clasp,1,5,628,6,8.63
4699,class,1,5,76489,9,4.95
4700,classic,0,7,13308,5,8.42
4701,classical,0,9,5054,6,7.68
4702,classicist,1,10,26,2,13.23
4703,classics,1,8,1574,3,9.035165
4704,classy,0,8,3992,1,10.32
4705,classification,1,14,499,4,11.11
4706,classified,0,10,5295,6,11.58
4707,classify,0,10,480,3,9.65
4708,classis,1,7,2,1,14.11
4709,classism,1,8,11,1,15.4
4710,classist,0,8,21,1,15.8
4711,classless,0,9,101,1,10.39
4712,classmate,1,9,2030,1,7.15
4713,classroom,1,9,4121,1,5.63
4714,clatter,1,7,2120,2,8.74
4715,clause,1,6,1880,2,12.16
4716,claustrophobia,1,14,385,1,10.28
4717,claustrophobic,0,14,930,2,12.42
4718,cleave,0,5,544,3,13.31
4719,clavichord,1,10,21,1,12.33
4720,clavicle,1,8,452,1,13.38
4721,clavier,1,7,39,2,13.56
4722,claw,1,4,3545,8,4.7
4723,clawless,0,8,3,1,8.28
4724,claxon,1,6,20,3,12.11
4725,clay,1,4,11682,5,5.32
4726,clean,0,5,84238,31,3.89
4727,cleaner,1,7,5698,21,5.76
4728,cleanliness,1,11,679,2,7.63
4729,cleanness,1,9,34,2,6.56
4730,cleanse,0,7,1774,2,8.11
4731,cleanser,1,8,226,1,8.22
4732,cleansing,1,9,1202,5,9.11
4733,cleanup,1,7,1254,3,5.06
4734,clear,0,5,125730,45,5.8
4735,clearance,1,9,4001,3,8.95
4736,clearheaded,0,11,58,1,11.11
4737,clearinghouse,1,13,47,1,12.5
4738,clearness,1,9,32,2,8.25
4739,clearway,1,8,10,1,13.94
4740,cleat,1,5,85,5,9
4741,cleavage,1,8,782,5,12.95
4742,cleaver,1,7,1225,1,8.94
4743,clef,1,4,100,1,12.56
4744,cleft,1,5,368,6,11.83
4745,clemency,1,8,562,2,14.12
4746,clench,0,6,409,4,9.89
4747,clergy,1,6,859,1,10.15
4748,clergyman,1,9,474,1,9.72
4749,cleric,1,6,386,1,11.89
4750,clerical,0,8,633,3,10.79
4751,clerk,1,5,6743,3,6.74
4752,clerkship,1,9,71,1,14.12
4753,clever,0,6,21429,3,7.5
4754,cleverness,1,10,319,3,7.75
4755,clevis,1,6,21,1,13.67
4756,clew,0,4,28,3,16.2
4757,cliche,1,6,886,1,12.125695
4758,click,0,5,8401,11,6.94
4759,clicker,1,7,267,1,6.89
4760,client,1,6,38407,3,12.05
4761,clientele,1,9,1088,1,14.12
4762,cliff,0,5,12109,1,7.27676
4763,cliffhanger,1,11,124,2,9.61
4764,climactic,0,9,151,1,13.24
4765,climate,1,7,5937,2,7.95
4766,climatic,0,8,174,1,10.22
4767,climax,1,6,1798,6,10.79
4768,climb,0,5,16614,9,5.3
4769,climbable,0,9,9,2,8.35
4770,climber,1,7,796,5,8.05
4771,clime,1,5,62,1,13.67
4772,clinch,1,6,396,11,10.94
4773,clincher,1,8,164,3,10.12
4774,cling,0,5,1809,4,7.74
4775,clinger,1,7,30,1,10.47
4776,clingy,0,6,631,1,7.28
4777,clinic,1,6,12658,3,9.37
4778,clinical,0,8,2525,2,11.84
4779,clinician,1,9,60,1,13.35
4780,clink,1,5,1936,4,9.44
4781,clinker,1,7,86,4,11.43
4782,clip,1,4,5051,11,6.61
4783,clipboard,1,9,508,1,7.76
4784,clipper,1,7,557,4,9.56
4785,clipping,1,8,655,8,8.89
4786,clique,1,6,455,1,12.42
4787,cliquey,0,7,43,1,12.5
4788,clitoral,0,8,88,1,15.2
4789,clitoris,1,8,573,1,14
4790,cloak,1,5,2469,5,6.95
4791,cloaking,0,8,563,3,9.68
4792,cloakroom,1,9,318,2,9.35
4793,clobber,0,7,432,3,8.53
4794,clock,1,5,23907,2,4.42
4795,clockmaker,1,10,93,1,8.74
4796,clockwork,1,9,1329,1,8.79
4797,clod,1,4,322,2,10.59
4798,clodhopper,1,10,38,1,12.94
4799,clodpoll,0,8,2,1,16
4800,clog,1,4,571,9,9.39
4801,cloggy,0,6,3,1,10.36
4802,cloisonne,1,9,14,2,16.5
4803,cloister,1,8,319,5,14.71
4804,cloistered,0,10,164,5,11.67
4805,clone,1,5,2647,4,8.89
4806,cloning,1,7,894,2,14.2
4807,clop,0,4,184,2,9.19
4808,close,0,5,166677,37,4.5
4809,closeness,1,9,485,6,7.32
4810,closet,1,6,14440,5,5
4811,closetful,0,9,18,1,9.75
4812,closeup,1,7,83,1,8
4813,closure,1,7,2619,8,12.11
4814,clot,1,4,1467,5,11.05
4815,cloth,1,5,5852,1,5.3
4816,clothe,0,6,452,3,8.83
4817,clothes,1,7,70929,4,3.11
4818,clotheshorse,1,12,25,2,15.33
4819,clothesline,1,11,224,1,6.67
4820,clothespin,1,10,47,1,7.83
4821,clothier,1,8,25,1,14.71
4822,clothing,1,8,7940,4,4.22
4823,cloud,1,5,11125,14,3.63
4824,cloudburst,1,10,72,1,14.29
4825,cloudy,0,8,1611,3,5.5
4826,cloudiness,1,10,31,3,8.37
4827,cloudless,0,9,144,1,7.6
4828,cloudlike,0,9,6,1,9.6
4829,clout,1,5,644,5,16.86
4830,clove,1,5,258,7,10.88
4831,cloven,0,6,107,4,11.56
4832,clover,1,6,1637,1,5.74
4833,cloverleaf,1,10,26,1,6.35
4834,clown,1,5,10883,3,3.72
4835,clownish,0,8,40,1,8.84
4836,clownishness,1,12,1,1,9.5
4837,cloy,1,4,19,2,14.5
4838,cloying,0,7,74,3,14.56
4839,club,1,4,65275,11,5.89
4840,clubby,1,6,18,2,13.17
4841,clubfoot,1,8,74,1,11.17
4842,clubhouse,1,9,1115,1,7.44
4843,clubwoman,1,9,3,1,13.62
4844,cluck,1,5,786,2,5.22
4845,clue,1,4,17430,3,6.06
4846,clueless,0,8,1435,1,7.71
4847,clump,1,5,427,7,8.62
4848,clumpy,0,6,43,1,7.32
4849,clumsy,0,8,4141,4,7.26
4850,clumsiness,1,10,188,3,8.22
4851,clunk,1,5,408,2,8.22
4852,clunker,1,7,150,1,9.37
4853,clunky,0,6,154,2,8.22
4854,cluster,1,7,2006,3,10
4855,clutch,1,6,2291,10,10.24
4856,clutter,1,7,562,3,8.33
4857,coach,1,5,32471,7,6.89
4858,coachman,1,8,639,1,11.39
4859,coagulant,1,9,52,1,14.18
4860,coagulate,0,9,69,3,13.95
4861,coagulation,1,11,115,1,14
4862,coagulator,1,10,9,1,16.38
4863,coal,1,4,7074,5,6.65
4864,coalesce,0,8,85,2,16.22
4865,coalescence,1,11,8,1,16
4866,coalition,1,9,1598,3,13.94
4867,coalmine,1,8,41,1,10.33
4868,coarse,0,6,847,3,9.11
4869,coarseness,1,10,49,6,11.56
4870,coast,1,5,18547,5,6.43
4871,coastal,0,7,1320,2,8.11
4872,coaster,1,7,1854,3,7.89
4873,coastguard,1,10,231,1,9.39
4874,coastline,1,9,958,1,9
4875,coastwise,0,9,6,2,13.73
4876,coat,1,4,25261,6,3.58
4877,coating,1,7,520,7,8.56
4878,coatroom,1,8,68,1,8.56
4879,coattail,1,8,28,1,10.8
4880,coauthor,1,8,22,1,10.65
4881,coax,0,4,495,2,11.47
4882,coaxial,0,7,73,1,14.87
4883,cob,0,3,562,4,6.520113
4884,cobalt,1,6,518,1,13.47
4885,cobber,1,6,75,1,10.4
4886,cobble,0,6,184,3,10
4887,cobbler,1,7,1001,3,9
4888,cobblestone,1,11,99,2,10.5
4889,cobra,1,5,2592,1,7.47
4890,cobweb,1,6,181,3,7.5
4891,cocaine,1,7,7765,1,12.16
4892,coccyx,1,6,186,1,14.14
4893,cochineal,1,9,28,2,13.92
4894,cochlear,0,8,99,1,15.14
4895,cock,1,4,11565,8,11.32
4896,cockalorum,1,10,52,1,15.17
4897,cockamamie,1,10,221,1,12.29
4898,cockatiel,1,9,26,1,10.45
4899,cockatoo,1,8,243,1,9.44
4900,cockatrice,1,10,10,1,13
4901,cockcrow,1,8,25,1,10.86
4902,cocker,1,6,345,2,11
4903,cockerel,1,8,292,1,12.6
4904,cockeyed,0,8,335,3,10
4905,cockfight,1,9,152,1,12.42
4906,cockhorse,1,9,4,1,14.14
4907,cocky,0,7,2800,1,10.5
4908,cockiness,1,9,67,1,11.12
4909,cockle,1,6,106,4,14.15
4910,cockney,0,7,551,4,15.62
4911,cockpit,1,7,1650,3,8.74
4912,cockroach,1,9,1985,1,6.25
4913,cocksucker,1,10,2111,2,12.42
4914,cocksure,0,8,75,1,13.62
4915,cocktail,1,8,6224,2,9.53
4916,cocoa,1,5,2673,2,6.84
4917,coconspirator,1,13,64,1,14
4918,coconut,1,7,4217,3,6.5
4919,cocoon,1,6,948,3,8.95
4920,cod,1,3,2318,7,11.5
4921,coda,1,4,108,1,13
4922,coddle,0,6,250,2,12.89
4923,code,1,4,35711,5,8.11
4924,codebook,1,8,68,1,11.23
4925,codefendant,1,11,26,1,14.56
4926,codeine,1,7,333,1,16.47
4927,codependency,1,12,37,1,13.42
4928,codependent,0,11,113,1,14.56
4929,coder,1,5,122,1,12.61
4930,codeword,1,8,70,1,10.28
4931,codex,1,5,452,2,14.5
4932,codfish,1,7,231,2,9.71
4933,codger,1,6,156,1,11.92
4934,codicil,1,7,114,1,18
4935,codify,0,6,28,1,16.65
4936,coding,1,6,684,5,11.84
4937,codling,1,7,4,1,11.69
4938,codpiece,1,8,111,1,13.22
4939,codswallop,1,10,57,1,13.88
4940,coed,0,4,310,1,12.1
4941,coeducational,0,13,22,1,13.24
4942,coefficient,1,11,164,1,13.42
4943,coelacanth,1,10,58,1,15.33
4944,coenzyme,1,8,8,1,14.36
4945,coerce,0,6,275,1,12.59
4946,coercion,1,8,460,2,12.12
4947,coercive,0,8,94,1,14.06
4948,coexist,0,7,388,2,11.56
4949,coexistence,1,11,235,1,12.78
4950,coffee,1,6,89650,4,4.94
4951,coffeehouse,1,11,298,1,10.11
4952,coffeemaker,1,11,186,1,7.78
4953,coffeepot,1,9,125,1,5.53
4954,coffer,1,6,81,2,12.08
4955,cofferdam,1,9,34,1,14.43
4956,coffin,1,6,7767,2,7.79
4957,coffle,1,6,5,1,14.09
4958,cofounder,1,9,36,1,11.3
4959,cog,1,3,480,4,11.33
4960,cogent,0,6,82,1,14.08
